dataset,model,accuracy,macro_f1
digits,svm,0.975,0.9748467821381158
digits,knn,0.9638888888888888,0.9634399725952824
digits,logreg,0.9722222222222222,0.9719402197048348
digits,lda,0.9527777777777776,0.9523203104538156
digits,qda,0.9666666666666668,0.9666525275179072
digits,mlp,0.9583333333333334,0.9577508738451967
digits,rf,0.9694444444444444,0.9689484859668325
