dataset,model,accuracy,macro_f1
wine,svm,0.9722222222222222,0.970961887477314
wine,knn,0.9722222222222222,0.9717813051146384
wine,logreg,0.9722222222222222,0.970961887477314
wine,lda,0.9444444444444444,0.94531328320802
wine,qda,0.9722222222222222,0.970961887477314
wine,mlp,0.8333333333333334,0.832010582010582
wine,rf,1.0,1.0
