dataset,model,cv,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std
wine,svm,5,0.9833333333333332,0.0222222222222222,0.9833573188343172,0.0218782092582046
wine,knn,5,0.9717460317460318,0.0180743404810422,0.9721091923245584,0.0179094481623088
wine,logreg,5,0.9833333333333332,0.0136082763487954,0.982904899541318,0.0139612976652195
wine,lda,5,0.9830158730158732,0.0138705093809228,0.9833512372190402,0.0136302950510408
wine,qda,5,0.9833333333333332,0.0136082763487954,0.9838591737269766,0.013231151096653
wine,mlp,5,0.8195238095238094,0.1066161066869797,0.8165880365517391,0.1100808877100823
wine,rf,5,0.9830158730158731,0.022779851683695552,0.9840388007054675,0.020898540673900602
