dataset,model,accuracy,macro_f1,auc
breast_cancer,svm,0.9824561403508772,0.9811507936507936,0.9950396825396826
breast_cancer,knn,0.956140350877193,0.9526381387619444,0.9788359788359788
breast_cancer,logreg,0.9824561403508772,0.9811507936507936,0.9953703703703703
breast_cancer,lda,0.956140350877193,0.9521289997480472,0.99239417989418
breast_cancer,qda,0.9736842105263158,0.9712773998488284,0.9930555555555556
breast_cancer,mlp,0.9649122807017544,0.9623015873015872,0.995701058201058
breast_cancer,rf,0.9473684210526315,0.9434523809523809,0.9937169312169313
